date;trav;;;;;
09/11/2006;-1.045532577;;;;;
09/12/2006;-1.210724578;;;;;
9/13/2006;0.52522593;;;;;
9/14/2006;0.583849741;;;;;
9/15/2006;-0.59522276;;;;;
9/18/2006;0.024823101;;;;;
9/19/2006;0.520597928;;;;;
9/20/2006;-1.042529018;;;;;
9/21/2006;-1.167190757;;;;;
9/22/2006;-0.582243995;;;;;
9/25/2006;-0.050897941;;;;;
9/26/2006;0.3065942;;;;;
9/27/2006;1.56419853;;;;;
9/28/2006;0.448861775;;;;;
9/29/2006;0.620870065;;;;;
10/02/2006;-0.062172778;;;;;
10/03/2006;1.089154672;;;;;
10/04/2006;-1.063550601;;;;;
10/05/2006;2.113299901;;;;;
10/06/2006;0.258094013;;;;;
10/09/2006;-0.044968713;;;;;
10/10/2006;0.609513128;;;;;
10/11/2006;0.333313346;;;;;
10/16/2006;-0.47604814;;;;;
10/17/2006;0.557559027;;;;;
10/18/2006;-0.506870613;;;;;
10/19/2006;-0.339942205;;;;;
10/20/2006;0.396483353;;;;;
10/23/2006;-0.496036322;;;;;
10/24/2006;1.083410148;;;;;
10/25/2006;0.482064584;;;;;
10/26/2006;0.118323966;;;;;
10/27/2006;0.16126127;;;;;
10/30/2006;-0.663991477;;;;;
10/31/2006;-0.923079054;;;;;
11/01/2006;0.773400455;;;;;
11/06/2006;1.423236216;;;;;
11/07/2006;1.540147831;;;;;
11/08/2006;-0.332032146;;;;;
11/09/2006;0.502995865;;;;;
11/10/2006;-0.956506358;;;;;
11/13/2006;-0.172624531;;;;;
11/14/2006;-0.220497582;;;;;
11/17/2006;1.390936234;;;;;
11/22/2006;-0.247895919;;;;;
11/23/2006;0.665228656;;;;;
11/24/2006;0.310849266;;;;;
11/27/2006;-0.652045618;;;;;
11/28/2006;-1.823293746;;;;;
11/29/2006;0.234016057;;;;;
11/30/2006;1.77596728;;;;;
12/01/2006;-0.060712951;;;;;
12/04/2006;-1.041513028;;;;;
12/05/2006;2.177787727;;;;;
12/06/2006;0.592355193;;;;;
12/07/2006;-0.074030671;;;;;
12/08/2006;-0.245286837;;;;;
12/11/2006;0.096677999;;;;;
12/12/2006;0.477830307;;;;;
12/13/2006;-0.438383792;;;;;
12/14/2006;0.438996449;;;;;
12/15/2006;0.805257472;;;;;
12/18/2006;-0.274209914;;;;;
12/19/2006;-0.158899731;;;;;
12/20/2006;0.156704433;;;;;
12/21/2006;-0.180183325;;;;;
12/22/2006;-0.252863201;;;;;
12/26/2006;-0.065774451;;;;;
12/27/2006;0.586996752;;;;;
12/28/2006;2.224186609;;;;;
01/02/2007;-0.099604819;;;;;
01/03/2007;1.823874424;;;;;
01/04/2007;-1.601966919;;;;;
01/05/2007;-0.633830387;;;;;
01/08/2007;-2.779098027;;;;;
01/09/2007;0.551164684;;;;;
01/10/2007;-0.807454493;;;;;
01/11/2007;0.315435746;;;;;
01/12/2007;0.340610771;;;;;
1/15/2007;0.459072941;;;;;
1/16/2007;-0.199848536;;;;;
1/17/2007;-0.36151553;;;;;
